x1,x2,x3,x4,x5
-1.585992952,0.24102365,-0.459177274,-4.718502694,5.884091211
10.79518835,-11.88695128,8.155395307,18.93021238,78.08758738
-3.527833433,5.095358517,-2.675078434,-4.271988375,-39.11263751
12.76649534,-14.56535922,9.7629156,21.5435601,98.49199032
-4.03503332,5.579262241,-3.007815097,-5.088974985,-42.1835154
25.5195371,-36.56342899,19.80563324,30.66653851,280.8850709
11.48069954,-12.84073309,7.670327518,18.90105361,84.9848381
7.166990636,-13.5013068,5.274368535,2.845860531,115.1715312
10.38474279,-17.70066515,9.809240663,9.209945476,147.0958483
-3.138717186,7.693508546,-3.571447307,0.546601131,-70.87008996
22.23797189,-25.25216911,15.88590966,36.7829606,169.504776
1.505417409,-3.802776792,1.017863987,-1.065304709,35.08398439
7.918425025,-8.018042846,6.165932468,15.16718349,49.59907334
4.689380954,-9.166544431,4.05374784,1.822986643,79.57342555
8.884044777,-16.94814984,7.130335953,3.786780284,145.3259378
2.722861798,-6.138704635,2.94585698,0.245759251,55.38264267
-4.552063581,1.609012867,-2.553039315,-13.1731792,5.942765512
4.837712038,-4.680889185,4.483303708,10.31167302,28.11043594
13.65138571,-19.09256579,11.2956468,17.55402821,145.7737146
7.835469792,-14.24817528,6.278364461,4.415744655,120.5425161
18.66270339,-20.01177235,13.5269439,33.12182876,128.8929824
11.62869183,-19.39466441,9.743552495,9.98302707,159.0152668
11.96242563,-14.84539406,8.875164421,17.96866042,105.4740922
-0.346005734,0.250264804,-0.264638265,-0.804789516,-1.107696285
2.654970369,-5.116287951,2.358725035,1.134372147,44.17763864
15.7729067,-12.68620386,9.721567515,33.675447,60.54219611
-2.849154214,-1.584441659,-0.844460372,-11.99040313,33.41402753
17.67003139,-20.49661452,12.66595489,28.55334398,139.4812947
5.666063782,-12.06564597,4.57076,0.312068253,107.0325264
1.880652481,-3.801029999,1.287870173,0.331617189,33.06872392
6.247356006,-2.157686891,4.227066043,18.47495237,-8.052383722
9.99709873,-11.03505348,6.56120303,16.57828808,72.51381972
-1.416901125,5.238375006,-1.54112026,3.314325384,-51.8182578
2.61752402,-3.841037216,1.300274356,2.502596957,29.32646949
0.021334731,-9.306288664,1.886770521,-14.10457836,105.6821369
4.402857262,-4.408210011,3.767748856,8.74866848,27.30299726
10.58378012,-9.440758009,7.964887601,22.38066268,51.64367233
3.667965541,-9.490989668,3.370896146,-2.275723655,88.24171928
-14.70043053,19.44363567,-12.00558182,-20.99737642,-143.8141894
-2.467740196,-0.267331051,-1.755556183,-9.342253017,15.90202153
5.860993193,-7.249695207,4.383670862,8.759979039,51.53150167
20.64392949,-20.4849355,14.45028078,38.89177694,123.7938881
8.350312572,-10.05275124,5.794160038,12.916776,69.71971103
5.417241324,-9.672181914,4.948523089,3.876878467,81.62136472
-6.552847806,0.200733702,-2.537012413,-21.3840139,32.83545065
-11.6464467,14.12067816,-8.7249596,-18.10032321,-99.18577312
8.338893446,-9.875294462,6.024541382,13.10355411,68.15778005
25.44452502,-30.27889898,17.78718856,39.38095106,209.4991253
8.351728344,-5.730906614,5.309277942,19.82677244,20.73965435
1.145374377,-0.478040953,-0.303356989,2.360711604,-1.18509059
-0.642724083,-8.78010465,0.851523224,-16.32127732,103.2718668
-3.232529064,7.5400527,-2.910667836,0.725056512,-68.66874561
-0.991753305,-4.332556075,0.935609867,-9.526584114,54.94632769
9.75864423,-19.60943427,9.083882613,3.51926651,171.3714729
-0.416155743,-6.819408747,0.876299647,-11.96723001,79.2814448
-1.615248244,1.654591391,-1.864606336,-3.730106579,-10.41439583
-0.381474023,3.242777523,-0.057196483,4.180702331,-34.37447992
3.465670218,-5.9371374,3.542274192,3.185480513,49.58826581
10.32614083,-20.61182321,8.727532924,3.297662742,179.3874095
10.54344231,-11.24984285,7.442734275,18.694411,72.08653238
6.852804269,-5.170734469,4.792915211,15.66253161,22.6086437
4.737262856,-2.533036864,3.314520877,12.55332866,3.932385196
1.835151161,-8.068292732,2.389225866,-6.204892681,81.99945247
1.38453124,-8.091130406,2.694819839,-7.394445575,85.00978672
12.81340269,-15.81096333,10.27465016,20.04218012,112.4358107
-5.300480266,8.193422647,-4.108844898,-5.242607073,-65.35041348
14.11765084,-22.27625198,11.83742565,14.23602574,178.7510597
12.34085804,-13.98689944,8.353527458,20.20029053,93.27048847
1.454188084,3.58555956,-0.29213256,9.950192177,-48.32618558
-0.603325559,2.351424966,-0.927492206,1.323310743,-23.61825736
10.70881192,-15.26568339,9.247271148,13.84422617,117.4062106
20.13890362,-26.96650842,15.55585026,27.26350437,200.4837611
11.35749673,-11.25651283,7.356577404,20.9026399,67.60629668
7.259014793,-13.35299088,6.313092943,4.346120225,113.2384525
0.162189875,-4.316089366,0.694632261,-6.197632065,47.89721849
6.885124403,-10.41774865,5.192580866,7.306738499,81.79215781
7.908933381,-9.479980073,6.851443257,13.40517139,66.25056534
-22.34292349,26.67504715,-16.79772218,-35.67030406,-185.1945676
1.401384931,-4.034144556,1.626704507,-1.277636397,38.39562513
11.22519342,-16.36387168,9.073185935,13.28099857,126.9736944
-3.421701796,-3.551865049,-1.39113845,-17.5993896,58.48567222
12.00610306,-15.39691128,8.22274302,16.84152941,110.9299197
0.044984662,1.474642197,0.204106941,2.830434511,-16.77524802
6.53385345,-8.643227753,5.533996955,9.411164657,64.06524028
9.673587735,-9.140560614,7.594937559,19.58883787,53.15269979
8.790879689,-14.99511249,6.804949311,6.31725436,123.9347732
11.02530294,-11.85310484,6.83880528,18.66442973,76.02928454
27.91547783,-36.16683551,21.186018,39.78845784,263.6002964
6.782876354,-5.542220767,3.782014387,14.08838467,26.87780924
13.63649093,-16.8025058,9.888161516,20.59869182,118.6921703
9.434632921,-0.94257201,5.413587697,31.16016564,-39.01284801
15.42679567,-12.32207624,10.41782985,33.83986863,58.71044388
-5.787901361,4.872869563,-4.199847772,-12.39099879,-24.94241932
13.6318941,-10.97337293,9.508199677,30.15776764,52.99549307
7.135991856,-11.83361103,6.213281976,6.473628829,96.89446445
3.331873861,-2.091561739,2.260854696,8.324130435,6.155869467
5.428164745,-12.53614648,5.418871176,-0.468783652,113.8884256
-3.007741734,-0.185395463,-1.09955296,-10.12197708,17.98717403
2.657526674,-3.725215805,1.591264027,3.003151582,28.01327606
29.95463423,-37.17235288,22.27582537,44.92237213,264.4342994
